Fall,Major Name,College,Total,Male,Female,Illinois
1980,Horticulture,ACES,48,28.0,20.0,14.0
1980,INST MGMT,ACES,8,1.0,7.0,0.0
1980,INT DSGN,ACES,140,9.0,131.0,0.0
1980,Industrial Agriculture,ACES,70,57.0,13.0,0.0
1980,Industrial Design,Fine and Applied Arts,97,56.0,41.0,2.0
1980,Industrial Engineering,Engineering,188,130.0,58.0,14.0
1980,Italian,LAS,2,2.0,0.0,0.0
1980,Journalism,Media,203,75.0,128.0,195.0
1980,Kinesiology,Applied Health Sciences,268,125.0,143.0,55.0
1980,LAB&IN REL,Labor and Industrial Relations,79,47.0,32.0,0.0
1980,LAS TCH MATH,LAS,1,0.0,1.0,0.0
1980,Landscape Architecture,Fine and Applied Arts,158,97.0,61.0,21.0
1980,Law,Law,639,468.0,171.0,84.0
1980,Leisure Studies,Applied Health Sciences,52,28.0,24.0,28.0
1980,Library & Information Science,iSchool,142,34.0,108.0,99.0
1980,Linguistics,LAS,63,32.0,31.0,39.0
1980,MARKETING,Business,54,24.0,30.0,0.0
1980,METAL ENGR,Engineering,190,159.0,31.0,59.0
1980,MKT TEXT&A,ACES,103,2.0,101.0,1.0
1980,MOTOR DEV,Applied Health Sciences,33,3.0,30.0,0.0
1980,MOTOR P&SP,Applied Health Sciences,28,14.0,14.0,2.0
1980,MUS-VOICE,Fine and Applied Arts,44,15.0,29.0,4.0
1980,MUSIC-COMP,Fine and Applied Arts,19,16.0,3.0,1.0
1980,MUSIC-INST,Fine and Applied Arts,105,54.0,51.0,34.0
1980,Mathematics,LAS,139,119.0,20.0,100.0
1980,Mechanical Agriculture,ACES,49,49.0,0.0,1.0
1980,Mechanical Engineering,Engineering,1012,934.0,78.0,95.0
1980,Microbiology,LAS,59,34.0,25.0,37.0
1980,Molecular & Integrative Physi,LAS,57,43.0,14.0,29.0
1980,Music,Fine and Applied Arts,251,144.0,107.0,129.0
1980,Music Education,Fine and Applied Arts,309,130.0,179.0,61.0
1980,Music History,Fine and Applied Arts,4,1.0,3.0,1.0
1980,Nuclear Engineering,Engineering,187,178.0,9.0,45.0
1980,Nutritional Sciences,ACES,30,11.0,19.0,12.0
1980,ORN HORT,ACES,122,53.0,69.0,1.0
1980,OUTDR REC,Applied Health Sciences,41,17.0,24.0,1.0
1980,PERFORM ST,Fine and Applied Arts,24,18.0,6.0,2.0
1980,PLANT PATH,ACES,34,28.0,6.0,21.0
1980,PRE-JOURN,LAS,57,24.0,33.0,1.0
1980,PRE-MED,LAS,28,18.0,10.0,0.0
1980,PROG MANAG,Applied Health Sciences,97,32.0,65.0,4.0
1980,PROG SPEC,Applied Health Sciences,8,2.0,6.0,0.0
1980,PUB ADMIN,LAS,19,12.0,7.0,4.0
1980,Philosophy,LAS,33,28.0,5.0,11.0
1980,Physics,ACES,362,336.0,26.0,226.0
1980,Plant Biology,LAS,31,18.0,13.0,27.0
1980,Political Science,LAS,46,29.0,17.0,16.0
1980,Professional Pilot,Aviation,14,10.0,4.0,13.0
1980,Psychology,LAS,160,86.0,74.0,105.0
1980,REST MGMT,ACES,53,30.0,23.0,2.0
1980,SCH HEALTH,Applied Health Sciences,18,2.0,16.0,1.0
1980,SOC SCI SP,Applied Health Sciences,13,8.0,5.0,3.0
1980,Secondary Education,ACES,16,8.0,8.0,1.0
1980,Slavic Languages & Literature,LAS,13,6.0,7.0,11.0
1980,Social Work,Social Work,315,69.0,246.0,27.0
1980,Sociology,LAS,46,28.0,18.0,25.0
1980,Spanish,ACES,46,18.0,28.0,21.0
1980,Special Education,Education,105,18.0,87.0,32.0
1980,Speech & Hearing Science,ACES,158,13.0,145.0,19.0
1980,Speech Communication,LAS,49,27.0,22.0,31.0
1980,Statistics,ACES,11,6.0,5.0,9.0
1980,TCH BIOL,LAS,17,6.0,11.0,0.0
1980,TCH DANCE,Fine and Applied Arts,8,0.0,8.0,2.0
1980,TCH ENGL,Education,12,3.0,9.0,0.0
1980,TCH ENGL,LAS,55,8.0,47.0,1.0
1980,TCH GEN SCIENCE,Education,2,0.0,2.0,0.0
1980,TCH KINES,Applied Health Sciences,8,3.0,5.0,2.0
1980,TCH LIFE SCI,Education,9,5.0,4.0,0.0
1980,TCH PHYS SCI,Education,2,1.0,1.0,0.0
1980,TCH SOC ST,Education,32,15.0,17.0,1.0
1980,TCH SOC ST,LAS,10,5.0,5.0,1.0
1980,TCH SPEECH,LAS,9,5.0,4.0,0.0
1980,TECH ED SP,Education,50,33.0,17.0,2.0
1980,TEXT-APPRL,ACES,9,0.0,9.0,0.0
1980,THER REC,Applied Health Sciences,86,6.0,80.0,6.0
1980,Teaching of Biological Science,ACES,1,1.0,0.0,0.0
1980,Teaching of Chemistry,ACES,7,3.0,4.0,0.0
1980,Teaching of English Sec Lang,ACES,75,15.0,60.0,41.0
1980,Teaching of French,ACES,15,1.0,14.0,0.0
1980,Teaching of German,ACES,9,2.0,7.0,3.0
1980,Teaching of Latin,ACES,2,0.0,2.0,0.0
1980,Teaching of Mathematics,ACES,28,10.0,18.0,0.0
1980,Teaching of Spanish,Business,30,2.0,28.0,3.0
1980,Theatre,Business,122,56.0,66.0,38.0
1980,Theatre,Fine and Applied Arts,29,17.0,12.0,3.0
1980,Theoretical & Applied Mechans,Engineering,50,46.0,4.0,34.0
1980,UNCLASS,Fine and Applied Arts,65,22.0,43.0,10.0
1980,UNCLASS,LAS,214,82.0,132.0,38.0
1980,Urban Planning,Fine and Applied Arts,92,49.0,43.0,29.0
1980,VMS - Veterinary Biosciences,VetMed,22,11.0,11.0,12.0
1980,VMS - Veterinary Pathobiology,VetMed,21,12.0,9.0,10.0
1980,VMS-Veterinary Clinical Medcne,VetMed,11,8.0,3.0,4.0
1980,VOC H E ED,ACES,36,0.0,36.0,0.0
1980,Veterinary Medical Science,VetMed,28,20.0,8.0,18.0
1980,Veterinary Medicine,VetMed,355,210.0,145.0,6.0
1980,Wood Sciences,ACES,5,5.0,0.0,0.0
1980,Zoology,LAS,3,1.0,2.0,1.0
1981,Accountancy,Business,1605,925.0,680.0,96.0
1981,Advertising,Media,234,69.0,165.0,19.0
1981,Aero & Astro Engineering,Engineering,435,405.0,30.0,41.0
1981,Agr & Environmental Cmc & Educ,ACES,5,4.0,1.0,3.0
1981,Agricultural & Applied Econ,ACES,349,289.0,60.0,49.0
1981,Agricultural Communications,ACES,72,21.0,51.0,1.0
1981,Agricultural Education,ACES,20,17.0,3.0,0.0
1981,Agricultural Engineering,ACES,89,82.0,7.0,1.0
1981,Agricultural Engineering,Engineering,101,89.0,12.0,16.0
1981,Agricultural Sciences,ACES,75,52.0,23.0,3.0
1981,Agronomy,ACES,201,156.0,45.0,62.0
1981,Air Systems,Aviation,143,134.0,9.0,0.0
1981,Animal Sciences,ACES,498,252.0,246.0,37.0
1981,Anthropology,LAS,64,32.0,32.0,32.0
1981,Application Design,ACES,7,0.0,7.0,0.0
1981,Architectural Studies,Fine and Applied Arts,597,434.0,163.0,54.0
1981,Architecture,Fine and Applied Arts,213,176.0,37.0,73.0
1981,Art Education,Fine and Applied Arts,68,7.0,61.0,6.0
1981,Art History,Fine and Applied Arts,76,21.0,55.0,16.0
1981,Art and Design,Fine and Applied Arts,415,156.0,259.0,49.0
1981,Asian Studies,LAS,18,10.0,8.0,5.0
1981,Astronomy,LAS,15,13.0,2.0,13.0
1981,Atmospheric Sciences,LAS,22,17.0,5.0,14.0
1981,Avionics,Aviation,10,10.0,0.0,0.0
1981,BUS EDUC,Education,25,3.0,22.0,0.0
1981,Biochemistry,LAS,84,59.0,25.0,43.0
1981,Biology,Applied Health Sciences,30,11.0,19.0,6.0
1981,Biology,LAS,161,91.0,70.0,54.0
1981,Biophysics & Computnl Biology,LAS,25,19.0,6.0,16.0
1981,Broadcast Journalism,Media,38,17.0,21.0,0.0
1981,Business Administration,Business,1287,736.0,551.0,143.0
1981,CER ENGR,Engineering,135,106.0,29.0,14.0
1981,CERAMICS,Engineering,3,2.0,1.0,2.0
1981,CORE CURR,ACES,155,112.0,43.0,4.0
1981,Chemical Engineering,LAS,567,444.0,123.0,96.0
1981,Chemical Physics,LAS,7,5.0,2.0,5.0
1981,Chemistry,LAS,537,409.0,128.0,232.0
1981,Civil Engineering,Engineering,811,701.0,110.0,147.0
1981,Classical Philology,LAS,11,9.0,2.0,10.0
1981,Classics,LAS,8,5.0,3.0,6.0
1981,Communication,Media,38,15.0,23.0,23.0
1981,Community Health,Applied Life Sciences,39,15.0,24.0,14.0
1981,Comparative Literature,LAS,44,20.0,24.0,31.0
1981,Computer Engineering,Engineering,323,275.0,48.0,16.0
1981,Computer Science,Business,246,193.0,53.0,137.0
1981,Computer Science,Engineering,583,430.0,153.0,20.0
1981,Crafts,Fine and Applied Arts,19,7.0,12.0,3.0
1981,DAIRY SCI,ACES,67,46.0,21.0,21.0
1981,DIETETICS,ACES,34,1.0,33.0,2.0
1981,Dance,Fine and Applied Arts,41,5.0,36.0,13.0
1981,ED POL ST,Education,63,35.0,28.0,30.0
1981,ED SEC&CON,Education,110,40.0,70.0,41.0
1981,EDUC ELEMENTARY,Education,141,23.0,118.0,38.0
1981,EDUC GEN,Education,113,21.0,92.0,0.0
1981,EDUC IDISC,Education,7,4.0,3.0,2.0
1981,ENGR MECH,Engineering,47,36.0,11.0,2.0
1981,ENGR PHYS,Engineering,98,91.0,7.0,3.0
1981,ENV ENGR,Engineering,29,26.0,3.0,16.0
1981,ENV SCI,Engineering,12,9.0,3.0,7.0
1981,EXT EDUC,ACES,14,5.0,9.0,2.0
1981,Early Childhood Education,Education,57,0.0,57.0,3.0
1981,Economics,Business,183,137.0,46.0,87.0
1981,Ed Organization and Leadership,Education,129,57.0,72.0,13.0
1981,Educ Voc Tech,Education,115,54.0,61.0,28.0
1981,Educational Psychology,Education,148,69.0,79.0,48.0
1981,Electrical Engineering,Engineering,1561,1402.0,159.0,248.0
1981,Elementary Education,Education,432,27.0,405.0,12.0
1981,English,LAS,101,51.0,50.0,55.0
1981,Entomology,LAS,28,21.0,7.0,17.0
1981,FAM&CON EC,ACES,13,0.0,13.0,3.0
1981,Finance,Business,508,339.0,169.0,32.0
1981,Food Science & Human Nutrition,ACES,204,77.0,127.0,54.0
1981,Forestry,ACES,119,91.0,28.0,4.0
1981,French,LAS,33,6.0,27.0,21.0
1981,GEN AGR,ACES,47,37.0,10.0,1.0
1981,GEN AGRIC,ACES,1,1.0,0.0,0.0
1981,GEN CURR,LAS,2461,1103.0,1358.0,58.0
